iter	Passed	Remaining
779	12734	3591
780	12750	3575
781	12765	3558
782	12778	3541
783	12794	3524
784	12807	3507
785	12822	3491
786	12838	3474
787	12853	3457
788	12867	3441
789	12883	3424
790	12898	3408
791	12914	3391
792	12927	3374
793	12942	3357
794	12955	3340
795	12969	3323
796	12982	3306
797	12994	3289
798	13010	3272
799	13023	3255
800	13038	3239
801	13052	3222
802	13068	3205
803	13086	3190
804	13100	3173
805	13117	3157
806	13132	3140
807	13149	3124
808	13163	3107
809	13179	3091
810	13192	3074
811	13209	3058
812	13225	3042
813	13240	3025
814	13255	3009
815	13270	2992
816	13284	2975
817	13303	2960
818	13322	2944
819	13338	2928
820	13357	2912
821	13376	2896
822	13396	2881
823	13414	2865
824	13435	2849
825	13454	2834
826	13476	2819
827	13494	2803
828	13510	2786
829	13527	2770
830	13543	2754
831	13559	2737
832	13575	2721
833	13592	2705
834	13610	2689
835	13629	2673
836	13648	2657
837	13664	2641
838	13684	2626
839	13702	2610
840	13718	2593
841	13734	2577
842	13751	2561
843	13766	2544
844	13784	2528
845	13800	2512
846	13818	2496
847	13833	2479
848	13852	2463
849	13871	2447
850	13886	2431
851	13903	2415
852	13920	2398
853	13937	2382
854	13952	2366
855	13970	2350
856	13988	2334
857	14006	2318
858	14024	2301
859	14041	2285
860	14058	2269
861	14077	2253
862	14094	2237
863	14110	2221
864	14128	2205
865	14143	2188
866	14159	2172
867	14175	2155
868	14192	2139
869	14208	2123
870	14224	2106
871	14240	2090
872	14256	2073
873	14272	2057
874	14290	2041
875	14307	2025
876	14323	2008
877	14340	1992
878	14358	1976
879	14374	1960
880	14391	1943
881	14407	1927
882	14425	1911
883	14441	1894
884	14458	1878
885	14474	1862
886	14490	1846
887	14509	1829
888	14526	1813
889	14541	1797
890	14558	1780
891	14572	1764
892	14589	1748
893	14605	1731
894	14620	1715
895	14639	1699
896	14658	1683
897	14677	1667
898	14691	1650
899	14710	1634
900	14729	1618
901	14745	1602
902	14761	1585
903	14777	1569
904	14791	1552
905	14809	1536
906	14825	1520
907	14842	1503
908	14860	1487
909	14877	1471
910	14893	1455
911	14909	1438
912	14927	1422
913	14944	1406
914	14958	1389
915	14974	1373
916	14989	1356
917	15006	1340
918	15020	1323
919	15038	1307
920	15054	1291
921	15071	1275
922	15086	1258
923	15101	1242
924	15117	1225
925	15136	1209
926	15152	1193
927	15169	1176
928	15186	1160
929	15202	1144
930	15219	1127
931	15236	1111
932	15253	1095
933	15269	1078
934	15285	1062
935	15303	1046
936	15322	1030
937	15337	1013
938	15354	997
939	15370	981
940	15385	964
941	15403	948
942	15420	932
943	15438	915
944	15457	899
945	15473	883
946	15491	867
947	15509	850
948	15526	834
949	15545	818
950	15564	801
951	15580	785
952	15596	769
953	15611	752
954	15628	736
955	15644	720
956	15662	703
957	15679	687
958	15696	671
959	15711	654
960	15730	638
961	15744	621
962	15760	605
963	15778	589
964	15796	572
965	15811	556
966	15826	540
967	15843	523
968	15859	507
969	15878	491
970	15896	474
971	15916	458
972	15932	442
973	15948	425
974	15967	409
975	15981	392
976	15998	376
977	16017	360
978	16032	343
979	16046	327
980	16065	311
981	16082	294
982	16097	278
983	16114	262
984	16134	245
985	16152	229
986	16167	212
987	16185	196
988	16202	180
989	16216	163
990	16231	147
991	16249	131
992	16266	114
993	16281	98
994	16300	81
995	16315	65
996	16331	49
997	16348	32
998	16366	16
999	16378	0
